correct/anomalous;ra;dec;parallax;pmra;pmdec;astrometric_excess_noise;ruwe;phot_g_mean_mag;phot_bp_rp_excess_factor;bp_rp
1;219.76987564001456;-61.07699923724758;0.4185203056315158;-6.278447734223132;-3.593607968377717;0.0;0.95208377;19.687166;1.6424878;1.9779816
1;219.8356920441174;-61.03523585626267;;;;1.9775416;;20.816444;1.9214308;1.5679264
1;219.7783916487982;-61.07547731215532;1.1713788841233992;-2.026379060734672;-5.320830002014407;2.5595694;1.0945805;20.460577;;
1;219.77962436390735;-61.07512990798776;-0.03062707958295234;-4.105741709221681;-0.6657426727549516;0.6107514;1.3750563;17.426628;1.3864768;1.8969593
1;219.78155601983667;-61.0747223241711;0.30068307730951516;-6.342427641314229;-3.2230472178772303;0.0;0.9715043;17.017227;1.3621069;1.6786251
1;219.7843523975014;-61.07313412596957;0.1781919811363157;-5.28774894832343;-3.1118223306118815;0.15300588;1.0275908;17.615797;1.3273937;1.7402649
1;219.7744552207095;-61.07400955255871;0.2848380096737165;-3.499726392570306;-2.0901672423294757;0.014912424;1.0280564;15.847096;1.453062;2.4383745
1;219.77520559709043;-61.07354688677135;0.21265459937147538;-4.864771216768032;-2.200525514770007;0.25083047;1.0448614;18.028685;1.5691317;1.6768379
1;219.78623117209776;-61.071700885756485;0.1786640729555784;-5.283987659876464;-3.1256855518446707;0.0;0.98584557;14.135817;1.2841327;1.535141
1;219.77174687982836;-61.07271820208763;0.4644999077846304;-4.386499200284133;-2.8352169288333853;0.0;1.0122567;17.271925;1.2552042;1.4214306
1;219.7737138651764;-61.07174982076435;0.3481539196265958;-1.912990668755743;-3.1144443919843168;0.63179183;1.2750083;17.503017;1.5411688;1.6068077
1;219.78619722930046;-61.070601779237975;0.16117875477883747;-5.051614159584217;-1.873636803622523;0.41481617;1.1026539;17.918102;1.5498055;1.7209377
1;219.78763669498855;-61.0700666719375;0.7811422747489447;-3.8702111191351083;2.3837289529983;1.0302308;1.018253;20.034422;;
1;219.77067422769485;-61.07129722275809;-0.3478756665987667;-6.096956680332721;-2.9030379741158696;1.2019744;1.1419665;19.333694;;
1;219.77216158848407;-61.069917999248275;0.4900966374845332;-5.124209541275566;-3.871127835430518;0.023398569;1.0284622;16.83367;1.2663635;1.495163
1;219.78035074307797;-61.067491884542484;0.4116198864419492;-4.444306838552325;-4.086988400467488;0.07684413;1.0573964;16.789026;1.2535582;1.342989
1;219.77352553965667;-61.06726033072666;0.35283744547721524;-7.061473345357904;-3.299120673740635;0.0;1.012961;16.861237;1.3109052;1.8065395
1;219.78103203803448;-61.06540196118362;1.0608729602270437;6.1177593968190545;-1.2467930712285824;0.0;1.0044378;17.005733;1.2759153;1.650362
1;219.77477563774042;-61.06362722368618;;;;10.337062;;20.704134;2.343778;2.180809
1;219.77485480121464;-61.075395828453466;;;;3.6410277;;20.984097;;
1;219.7294526640472;-61.07342115469266;;;;5.8977294;;21.176744;2.5822725;3.4013424
1;219.73585391413258;-61.0638476627619;-1.2526561087265489;-8.13449997568205;-6.094716298066691;1.962468;1.4277968;18.977543;2.1727722;3.3629227
1;219.73706193483258;-61.072202133644275;0.34998128418914926;-5.072277501191;-2.7383247610220107;1.1619076;1.0803074;18.881123;1.9421785;4.1506824
1;219.74136900747877;-61.06997939507765;0.7013901762486858;-7.911875885723919;-3.5927664662919265;2.2086248;1.0830235;20.699911;;
